user,created_at,latitude,longitude,text
NYCEEC,Tue Mar 14 17:38:43 +0000 2017,,,'We'll be at @NYSERDA's #CHP breakfast &amp; tour tomorrow morning 3/15. Learn how CHP can benefit your building!… https://t.co/epDTVRlPzW'
shiffman,Tue Mar 14 17:30:11 +0000 2017,,,'Dear friends who know about recent AI/ML advances. Help a fogey plan @ITP_NYU course and @thecodingtrain tutorials!… https://t.co/aLTLr6KZgW'
ColumbiaULife,Tue Mar 14 17:15:47 +0000 2017,,,"'Register for AWAKENING OUR DEMOCRACY - back Thu 3/23 w/discussion abt immigration, nat'l security &amp; our communities… https://t.co/OdWqlF9l3D'"
Columbia_CCAA,Tue Mar 14 16:34:12 +0000 2017,,,'@RobbyMook Would you be up for joining Columbia’s women’s event on 4/22? You'd be amazing on our #womensrights pane… https://t.co/030tCTz7QO'
NYUTandonTweets,Tue Mar 14 16:29:23 +0000 2017,,,'Incoming NYU Tandon School of Engineering Students Experience #VR-Gaming via @Campus_Tech #SXSWGaming #SXSW'
Columbia_CCAA,Tue Mar 14 16:20:08 +0000 2017,,,'.@searchpartytbs's Lilly Burns CC'09 &amp; @voguemagazine's Selby Drummond CC'09 show their #feminist spirit at #CCW30:… https://t.co/tsnZTMxXzN'
tmj_nyc_banking,Tue Mar 14 14:29:18 +0000 2017,40.7127837,-74.0059413,"'We're #hiring! Read about our latest #job opening here: Universal Banker- Columbia University- New York, NY - https://t.co/sKwj9cf6V2'"
StieberMD,Tue Mar 14 14:07:21 +0000 2017,,,'NYU School of Medicine ranked #12 on U.S News &amp; World Report’s 2018 “Best Medical Schools: Research” list.  @USNewsHealth @NYULMC'
LaShondraS,Tue Mar 14 13:43:59 +0000 2017,,,'On the campus of @Columbia #KiarainNY https://t.co/AFtNkSCgca'
LaShondraS,Tue Mar 14 13:42:14 +0000 2017,,,'Finally on the campus of @Columbia #KiarainNY https://t.co/maw1UkRDnd'
LaShondraS,Tue Mar 14 13:40:56 +0000 2017,,,'At the top of the hill on the way to @Columbia #KiarainNY https://t.co/MUyCc79HkH'
LaShondraS,Tue Mar 14 13:30:11 +0000 2017,,,'First college stop was @Columbia #KiarainNY https://t.co/Rg7U9samsl'
mattklewis,Tue Mar 14 12:54:00 +0000 2017,,,"'""Snow, followed by small boys on sleds."" (Greatest lede to a weather forecast, ever?) https://t.co/XliqGc3whq'"
Jay_Hoffa_Flee,Tue Mar 14 12:00:52 +0000 2017,,,'NYU work flow regular'
bananarunts,Tue Mar 14 11:55:01 +0000 2017,,,"'D.C. is patient and kind. It does not boast.   #loveletter #DC #DCoverNYC
https://t.co/a8wQiaddgW'"
ParvisRasulov,Tue Mar 14 05:40:44 +0000 2017,,,'NYU students  at Times Square     #NYU #live #makemusicny @TwitterMusic #PeopleOfNewYork  #students #creative… https://t.co/nY1iAK1tux'
ThomasLS,Tue Mar 14 04:15:32 +0000 2017,,,"'Sean, remember when you were just some NYU dropout who replaced Neil Boortz on WGST drive-time radio in Atlanta. https://t.co/3k2bI2aVQV'"
JamalLaForce,Tue Mar 14 03:59:38 +0000 2017,,,'Happy birthday Emma! Need karaoke w/ @mamamoffa @TheRealBenRuiz @jeffreybiel @LoganWhiteside! Go #BeastMode on #SnowDay off! @ecm298 #NYU'
madpr,Tue Mar 14 02:23:59 +0000 2017,,,'@ThatRedDeviL Ilana from broad city married a chemistry postdoc from nyu'
samsquamch59,Tue Mar 14 01:37:11 +0000 2017,,,"'@ilikereadingtoo Yeah, I did birth to 2nd at Columbia. I'm teaching 3rd now, and I hate it.'"
BorjaGilv,Tue Mar 14 01:15:40 +0000 2017,,,"'Tremendamente increíble. Universidad de Columbia en New York sin nieve, mañana parece que será diferente. Informare… https://t.co/AdVcT6anNO'"
sapphosmuses,Tue Mar 14 01:15:25 +0000 2017,,,'welcome 2 spring break @ nyu where the only thing i can eat is a veggie burger from kimmel for a week straight'
samsquamch59,Tue Mar 14 01:05:10 +0000 2017,,,'@ilikereadingtoo I actually teach on 105th and Amsterdam.I went to Hunter for undergrad and Columbia for grad school.The latter=huge mistake'
J_Mack09,Tue Mar 14 00:30:07 +0000 2017,40.8112587,-73.95776334,'The best #barnardfam #columbia #reslife4life @ Max SoHa Restaurant https://t.co/2jpsGHElC2'
pilarlait,Tue Mar 14 00:26:03 +0000 2017,,,'please give this Columbia student an internship @voxdotcom'
MktgMavn,Mon Mar 13 23:27:42 +0000 2017,40.74652452,-73.98134144,"'Class #3! #socialimpact #csr #corporatesocialresponsibilty #professor (@ NYU Norman Thomas Center in New York, NY) https://t.co/WiPZlHBCp2'"
nyubookstores,Mon Mar 13 21:51:50 +0000 2017,,,'March 21 6PM @MissVera212 Cross Gender Fun for All. https://t.co/hWjwaLGWN6 https://t.co/NOP1nzQF3y @NYU_LGBTQ @NYULocal @nyunews @NYU_CE'
moughthere,Mon Mar 13 21:29:09 +0000 2017,,,'I am here at NYU Dental #school for my appt. #health'
dcorreab,Mon Mar 13 21:21:02 +0000 2017,,,"'I'll be presenting part my research at the 21st IFORS conference to be held between July 17-21, 2017 in Quebec City https://t.co/hbVz8Cd4Or'"
OutMuslim,Mon Mar 13 21:11:21 +0000 2017,,,"'""The enlightenment is not about universal liberation."" Prof HusseinRashid today @ NYU on role of Arts and Culture i… https://t.co/JmRkuRQe5z'"
shilohcat7111,Mon Mar 13 21:09:13 +0000 2017,,,"'AMAZING THAT MARC LAMONT IS A COMMIE PROFESSOR AT COLUMBIA U, MOLDING USEFUL IDIOTS WITH HIS COMMIE POLITICS, THAT ALWAYS FAIL! SAD!'"
JamesRegules,Mon Mar 13 21:03:45 +0000 2017,40.73083333,-73.9975,'Washington Square visiting NYU @ Washington Square Park https://t.co/4qECOsQbV4'
